date,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
12.06.2023 23:30,24.0,750.2,753.9,89.0,从东北偏东方向吹来的风,3,,,,疏云 (40-50%) 450 米,7,22.0
12.06.2023 23:00,24.0,750.2,753.9,89.0,从东北偏东方向吹来的风,4,,,,疏云 (40-50%) 450 米,7,22.0
12.06.2023 22:30,24.0,750.2,753.9,89.0,从东方吹来的风,3,,,,疏云 (40-50%) 450 米,8,22.0
12.06.2023 22:00,24.0,750.2,753.9,89.0,从东方吹来的风,4,,,,疏云 (40-50%) 450 米,10.0 大于等于,22.0
12.06.2023 21:30,24.0,750.2,753.9,89.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,22.0
12.06.2023 21:00,25.0,750.2,753.9,83.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,22.0
12.06.2023 20:30,25.0,749.4,753.1,83.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,22.0
12.06.2023 20:00,25.0,749.4,753.1,83.0,从东北偏东方向吹来的风,5,,,,无明显的云,10.0 大于等于,22.0
12.06.2023 19:30,25.0,749.4,753.1,89.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,23.0
12.06.2023 19:00,26.0,749.4,753.1,74.0,从东方吹来的风,6,,,,无明显的云,10.0 大于等于,21.0
12.06.2023 18:30,27.0,749.4,753.1,70.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,21.0
12.06.2023 18:00,28.0,748.6,752.3,66.0,从东方吹来的风,5,,,,无明显的云,10.0 大于等于,21.0
12.06.2023 17:30,29.0,748.7,752.3,58.0,从东北偏东方向吹来的风,5,,,,无明显的云,10.0 大于等于,20.0
12.06.2023 17:00,29.0,748.7,752.3,62.0,从东方吹来的风,5,,,,少云 (10-30%) 990 米,10.0 大于等于,21.0
12.06.2023 16:30,30.0,748.7,752.3,59.0,从东方吹来的风,4,,,,少云 (10-30%) 990 米,10.0 大于等于,21.0
12.06.2023 16:00,30.0,748.7,752.3,55.0,从东北偏东方向吹来的风,4,,,,少云 (10-30%) 990 米,10.0 大于等于,20.0
12.06.2023 15:30,30.0,748.7,752.3,59.0,从东北偏东方向吹来的风,4,,,,少云 (10-30%) 990 米,10.0 大于等于,21.0
12.06.2023 15:00,30.0,748.7,752.3,59.0,从东北偏东方向吹来的风,4,,,,少云 (10-30%) 990 米,10.0 大于等于,21.0
12.06.2023 14:30,30.0,748.7,752.3,55.0,从东方吹来的风,4,,,,少云 (10-30%) 990 米,10.0 大于等于,20.0
12.06.2023 14:00,30.0,748.7,752.3,55.0,从东方吹来的风,3,,,,疏云 (40-50%) 990 米,10.0 大于等于,20.0
12.06.2023 13:30,30.0,749.5,753.1,55.0,从东方吹来的风,4,,,,疏云 (40-50%) 780 米,10.0 大于等于,20.0
12.06.2023 13:00,30.0,749.5,753.1,59.0,从东方吹来的风,4,,,,疏云 (40-50%) 780 米,10.0 大于等于,21.0
12.06.2023 12:30,30.0,749.5,753.1,62.0,从东北偏东方向吹来的风,4,,,,疏云 (40-50%) 780 米,10.0 大于等于,22.0
12.06.2023 12:00,29.0,750.2,753.9,62.0,从东方吹来的风,3,,,,多云 (60-90%) 690 米,10.0 大于等于,21.0
12.06.2023 11:30,29.0,750.2,753.9,62.0,从东北偏东方向吹来的风,4,,,,多云 (60-90%) 690 米,10.0 大于等于,21.0
12.06.2023 11:00,29.0,750.2,753.9,62.0,从东北偏东方向吹来的风,3,,,,疏云 (40-50%) 780 米,10.0 大于等于,21.0
12.06.2023 10:30,28.0,750.2,753.9,70.0,风向多变,3,,,,疏云 (40-50%) 780 米,10.0 大于等于,22.0
12.06.2023 10:00,28.0,750.2,753.9,66.0,风向多变,2,,,,疏云 (40-50%) 780 米,10.0 大于等于,21.0
12.06.2023 09:30,27.0,750.2,753.9,70.0,风向多变,1,,,,疏云 (40-50%) 750 米,10.0 大于等于,21.0
12.06.2023 09:00,27.0,750.2,753.9,70.0,从东方吹来的风,2,8.0,,,疏云 (40-50%) 600 米,10.0 大于等于,21.0
12.06.2023 08:30,26.0,750.2,753.9,74.0,从东方吹来的风,2,,,,疏云 (40-50%) 600 米,10.0 大于等于,21.0
12.06.2023 08:00,26.0,750.9,754.6,79.0,从东方吹来的风,3,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
12.06.2023 07:30,25.0,750.9,754.6,79.0,从东北偏东方向吹来的风,3,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
12.06.2023 07:00,25.0,750.2,753.9,83.0,从东北偏东方向吹来的风,3,,,,少云 (10-30%) 600 米,9,22.0
12.06.2023 06:30,24.0,750.2,753.9,89.0,从东北偏东方向吹来的风,3,,,,少云 (10-30%) 600 米,9,22.0
12.06.2023 06:00,23.0,750.2,753.9,94.0,从东北偏东方向吹来的风,2,,,,少云 (10-30%) 600 米,9,22.0
12.06.2023 05:30,23.0,750.2,753.9,89.0,从东方吹来的风,2,,,,少云 (10-30%) 450 米,8,21.0
12.06.2023 05:00,23.0,750.2,753.9,94.0,从东方吹来的风,1,,,,少云 (10-30%) 450 米,8,22.0
12.06.2023 04:30,23.0,750.2,753.9,94.0,从东方吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,22.0
12.06.2023 04:00,24.0,750.2,753.9,89.0,从东北偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,22.0
12.06.2023 03:30,24.0,750.2,753.9,83.0,从东北偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,21.0
12.06.2023 03:00,24.0,750.2,753.9,83.0,从东北偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,21.0
12.06.2023 02:30,24.0,750.2,753.9,83.0,从东北偏东方向吹来的风,3,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,21.0
12.06.2023 02:00,25.0,749.4,753.1,79.0,从东南偏东方向吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",8,21.0
12.06.2023 01:30,24.0,750.2,753.9,83.0,从东方吹来的风,2,,,,"少云 (10-30%) 510 米, 疏云 (40-50%) 1200 米",7,21.0
