date,T,P0,P,U,Ff,ff10,Td,weekday,traffic
2022/06/12 00:00:00,21.0,754.4,758.2,83.0,2,0.0,18.0,0,10.0
2022/06/12 00:30:00,21.0,754.4,758.2,88.0,2,0.0,19.0,0,10.0
2022/06/12 01:00:00,20.0,753.9,757.7,88.0,2,0.0,18.0,0,20.0
2022/06/12 01:30:00,21.0,754.4,758.2,88.0,1,0.0,19.0,0,20.0
2022/06/12 02:00:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,15.0
2022/06/12 02:30:00,20.0,753.9,757.7,88.0,2,0.0,18.0,0,13.0
2022/06/12 03:00:00,20.0,753.9,757.7,88.0,3,0.0,18.0,0,12.0
2022/06/12 03:30:00,21.0,753.9,757.7,83.0,2,0.0,18.0,0,15.0
2022/06/12 04:00:00,20.0,753.9,757.7,88.0,2,0.0,18.0,0,16.0
2022/06/12 04:30:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,12.0
2022/06/12 05:00:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,19.0
2022/06/12 05:30:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,19.0
2022/06/12 06:00:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,522.0
2022/06/12 06:30:00,21.0,753.9,757.7,88.0,2,0.0,19.0,0,858.0
2022/06/12 07:00:00,21.0,754.4,758.2,88.0,3,0.0,19.0,0,851.0
2022/06/12 07:30:00,21.0,753.9,757.7,88.0,3,0.0,19.0,0,899.0
2022/06/12 08:00:00,22.0,754.4,758.2,83.0,3,0.0,19.0,0,796.0
2022/06/12 08:30:00,22.0,753.9,757.7,83.0,3,0.0,19.0,0,748.0
2022/06/12 09:00:00,23.0,754.4,758.2,78.0,3,0.0,19.0,0,230.0
2022/06/12 09:30:00,23.0,754.0,757.7,78.0,3,0.0,19.0,0,172.0
2022/06/12 10:00:00,24.0,754.0,757.7,69.0,4,0.0,18.0,0,255.0
2022/06/12 10:30:00,23.0,754.0,757.7,69.0,3,0.0,17.0,0,226.0
2022/06/12 11:00:00,23.0,754.0,757.7,74.0,3,0.0,18.0,0,615.0
